[-22.0024047752, 41.4030118828]
[-21.9553501284, 41.3347246446]
[-22.0261266659, 41.3008182489]
[-22.0911082833, 41.2699279544]
[-22.1451956391, 41.2913413533]
[-22.0969490031, 41.2831886859]
[-22.0569822703, 41.2269768179]
[-22.0192107185, 41.1755232375]
[-21.9052725509, 41.1750269414]
[-21.8419940617, 41.2019568533]
[-21.8438636155, 41.1803544795]
[-21.8703984412, 41.1867279581]
[-21.8897099213, 41.2429588784]
[-21.9014243618, 41.2703446039]
[-21.9487942388, 41.2974140670]
[-21.9436191976, 41.2711326838]
[-21.8419703050, 41.2928269933]
[-21.7842710666, 41.3144736085]
[-21.8040874580, 41.3373750388]
[-21.8292589549, 41.3837678801]
[-21.7554061527, 41.3235522371]
[-21.7057205005, 41.3425615448]
[-21.7387568005, 41.3134984717]
[-21.7581629237, 41.3108334413]
[-21.7822181317, 41.2591929567]
[-21.7024098056, 41.3068058292]
[-21.6956677300, 41.3286698878]
[-21.6895430050, 41.2746198303]
[-21.7094615660, 41.3248097229]
[-21.7522529110, 41.3224480344]
[-21.6954446457, 41.3663421059]
[-21.7463285722, 41.3858838183]
[-21.7574006801, 41.4023377906]
[-21.7797726441, 41.3928582956]
[-21.6795410699, 41.3297123793]
[-21.7325121085, 41.3509230465]
[-21.6362424759, 41.3649420946]
[-21.6202809872, 41.3806307054]
[-21.5758157480, 41.4188217326]
[-21.6083389335, 41.4567671329]
[-21.6322764884, 41.3919873388]
[-21.6730747100, 41.3321327619]
[-21.6938676456, 41.3504539161]
[-21.7732353586, 41.3201381506]
[-21.7321240416, 41.3373194084]
[-21.6756993006, 41.3526445457]
[-21.6781201778, 41.3689740112]
[-21.5955884220, 41.4057625376]
[-21.6352618817, 41.4692555482]
[-21.6780830807, 41.4779281681]
[-21.6390129867, 41.4575243600]
[-21.6030101188, 41.4382038902]
